<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<Japanese>;<Portuguese>;<Ukrainian>;<Serbian>;<Hungarian>;<Korean>;<Belarusian>;<Romanian>;<TChinese>;<HChinese>;<Comments>;<max_chars>
ships/uss_dd_versus_0;Destruktor;Destruktor;USS Versus;Zerstörer;Destructor;Эсминец;Destruktor;Torpédoborec;Muhrip;驱\t逐\t舰;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;USS Versus;驅\t逐\t艦;【驱\t逐\t舰\t】;;
ships/uss_dd_versus_1;Destruktor;Destruktor;Cacciatorpediniere USA;Zerstörer;Destructor;Эсминец;Destruktor;Torpédoborec;Muhrip;驱\t逐\t舰;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;Distrugător american;驅\t逐\t艦;【驱\t逐\t舰\t】;;
ships/uss_dd_versus_2;Destruktor;Destruktor;Cacciatorpediniere;Zerstörer;Destructor;Эсминец;Destruktor;Torpédoborec;Muhrip;驱\t逐\t舰;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;Distrugător;驅\t逐\t艦;【驱\t逐\t舰\t】;;
ships/uss_dd_versus_less_weapon_0;Destruktor;Destruktor;USS Versus;Zerstörer;Destructor;Эсминец;Destruktor;Torpédoborec;Muhrip;驱\t逐\t舰;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;USS Versus;驅\t逐\t艦;【驱\t逐\t舰\t】;;
ships/uss_dd_versus_less_weapon_1;Destruktor;Destruktor;Cacciatorpediniere USA;Zerstörer;Destructor;Эсминец;Destruktor;Torpédoborec;Muhrip;驱\t逐\t舰;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;Distrugător american;驅\t逐\t艦;【驱\t逐\t舰\t】;;
ships/uss_dd_versus_less_weapon_2;Destruktor;Destruktor;Cacciatorpediniere;Zerstörer;Destructor;Эсминец;Destruktor;Torpédoborec;Muhrip;驱\t逐\t舰;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;Distrugător;驅\t逐\t艦;【驱\t逐\t舰\t】;;
ships/uss_lcvp_0;Landing craft;Barge de débarquement;USS LCVP;Landungsboot;Lancha de desembarco;Десантное судно;Landing craft;Landing Craft Vehicle Personnel;Çıkarma Gemisi;【登\t陆\t艇\t】\t车\t辆\t人\t员\t登\t陆\t艇;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;Vas american de debarcare personal;【登\t陸\t艇\t】\t車\t輛\t人\t員\t登\t陸\t艇;【登\t陆\t舰\t】;;
ships/uss_lcvp_1;Landing craft;Barge de débarquement;Nave da sbarco USA;Landungsboot;Lancha de desembarco;Десантное судно;Landing craft;LCVP;Çıkarma Gemisi;【登\t陆\t艇\t】\t车\t辆\t人\t员\t登\t陆\t艇;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;Vas american de debarcare;【登\t陸\t艇\t】\t車\t輛\t人\t員\t登\t陸\t艇;【登\t陆\t舰\t】;;
ships/uss_lcvp_2;Landing craft;Barge de débarquement;Nave da sbarco;Landungsboot;Lancha de desembarco;Десантное судно;Landing craft;LCVP;Çıkarma Gemisi;登\t陆\t艇;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;USS LCVP;登\t陸\t艇;【登\t陆\t舰\t】;;
ships/uss_lcvp_lite_0;Landing craft;Barge de débarquement;USS LCVP;Landungsboot;Lancha de desembarco;Десантное судно;Landing craft;Landing Craft Vehicle Personnel;Çıkarma Gemisi;【登\t陆\t艇\t】\t小\t型\t登\t陆\t艇;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;Vas american ușor de debarcare personal;【登\t陸\t艇\t】\t小\t型\t車\t輛\t人\t員\t登\t陸\t艇;【登\t陆\t舰\t】;;
ships/uss_lcvp_lite_1;Landing craft;Barge de débarquement;Nave da sbarco USA;Landungsboot;Lancha de desembarco;Десантное судно;Landing craft;LCVP;Çıkarma Gemisi;【登\t陆\t艇\t】\t小\t型\t登\t陆\t艇;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;Vas ușor american de debarcare;【登\t陸\t艇\t】\t小\t型\t車\t輛\t人\t員\t登\t陸\t艇;【登\t陆\t舰\t】;;
ships/uss_lcvp_lite_2;Landing craft;Barge de débarquement;Nave da sbarco;Landungsboot;Lancha de desembarco;Десантное судно;Landing craft;LCVP;Çıkarma Gemisi;登\t陆\t艇;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;USS LCVP ușor;【登\t陸\t艇\t】\t小\t型\t車\t輛\t人\t員\t登\t陸\t艇;【登\t陆\t舰\t】;;
ships/uss_lcvp_includes_0;Landing craft;Barge de débarquement;USS LCVP;Landungsboot;Lancha de desembarco;Десантное судно;Landing craft;Landing Craft Vehicle Personnel;Çıkarma Gemisi;【登\t陆\t艇\t】\t车\t辆\t人\t员\t登\t陆\t艇;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;Vas american de debarcare personal;【登\t陸\t艇\t】\t車\t輛\t人\t員\t登\t陸\t艇;【登\t陆\t舰\t】;;
ships/uss_lcvp_includes_1;Landing craft;Barge de débarquement;Nave da sbarco USA;Landungsboot;Lancha de desembarco;Десантное судно;Landing craft;LCVP;Çıkarma Gemisi;【登\t陆\t艇\t】\t车\t辆\t人\t员\t登\t陆\t艇;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;Vas american de debarcare;【登\t陸\t艇\t】\t車\t輛\t人\t員\t登\t陸\t艇;【登\t陆\t舰\t】;;
ships/uss_lcvp_includes_2;Landing craft;Barge de débarquement;Nave da sbarco;Landungsboot;Lancha de desembarco;Десантное судно;Landing craft;LCVP;Çıkarma Gemisi;登\t陆\t艇;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;USS LCVP;【登\t陸\t艇\t】\t車\t輛\t人\t員\t登\t陸\t艇;【登\t陆\t舰\t】;;
ships/uss_lst_0;Landing craft;Barge de débarquement;USS TLS;Landungsboot;Lancha de desembarco;Десантное судно;Landing craft;Landing Ship Tank;Çıkarma Gemisi;【登\t陆\t艇\t】\t坦\t克\t登\t陆\t舰;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;Vas de debarcare tancuri american;【登\t陸\t艦\t】\t坦\t克\t登\t陸\t艦;【登\t陆\t舰\t】;;
ships/uss_lst_1;Landing craft;Barge de débarquement;Nave da sbarco USA;Landungsboot;Lancha de desembarco;Десантное судно;Landing craft;LST;Çıkarma Gemisi;【登\t陆\t艇\t】\t坦\t克\t登\t陆\t舰;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;Vas de debarcare american;【登\t陸\t艦\t】\t坦\t克\t登\t陸\t艦;【登\t陆\t舰\t】;;
ships/uss_lst_2;Landing craft;Barge de débarquement;Nave da sbarco;Landungsboot;Lancha de desembarco;Десантное судно;Landing craft;LST;Çıkarma Gemisi;登\t陆\t艇;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;USS LST;【登\t陸\t艦\t】\t坦\t克\t登\t陸\t艦;【登\t陆\t舰\t】;;
ships/uss_lst_heavy_0;Heavy Landing craft;Péniches de débarquement lourdes      ;Nave da sbarco Pesante;Schweres Landungsboot;Lancha pesada de desembarco;Тяжелое Десантное судно;Heavy Landing craft;Landing Ship Dock;Ağır Çıkarma Gemisi;【登\t陆\t艇\t】\t重\t型\t坦\t克\t登\t陆\t舰;重上陸用舟艇;Navio de desembarque pesado;Важке десантне судно;Teški desantni čamac;nehéz deszanthajó;대형 상륙정;Цяжкі дэсантны карабель;Navă grea de debarcare tancuri americană;【登\t陸\t艦\t】\t重\t型\t坦\t克\t登\t陸\t艦;【重\t型\t登\t陆\t舰\t】;;
ships/uss_lst_heavy_1;Heavy Landing craft;Péniche de débarquement;Nave da sbarco USA;Schweres Landungsboot;Lancha pesada de desembarco;Тяжелое Десантное судно;Heavy Landing craft;LSD;Ağır Çıkarma Gemisi;【登\t陆\t艇\t】\t重\t型\t坦\t克\t登\t陆\t舰;重上陸用舟艇;Navio de desembarque pesado;Важке десантне судно;Teški desantni čamac;nehéz deszanthajó;대형 상륙정;Цяжкі дэсантны карабель;Navă grea de debarcare americană;【登\t陸\t艦\t】\t重\t型\t坦\t克\t登\t陸\t艦;【重\t型\t登\t陆\t舰\t】;;
ships/uss_lst_heavy_2;Heavy Landing craft;Péniche de débarquement;Nave da sbarco Pesante;Schweres Landungsboot;Lancha pesada de desembarco;Тяжелое Десантное судно;Heavy Landing craft;LSD;Ağır Çıkarma Gemisi;重\t型\t登\t陆\t舰;重上陸用舟艇;Navio de desembarque pesado;Важке десантне судно;Teški desantni čamac;nehéz deszanthajó;대형 상륙정;Цяжкі дэсантны карабель;USS LST grea;【登\t陸\t艦\t】\t重\t型\t坦\t克\t登\t陸\t艦;【重\t型\t登\t陆\t舰\t】;;
ships/uss_lst_includes_0;Landing craft;Barge de débarquement;USS TLS;Landungsboot;Lancha de desembarco;Десантное судно;Landing craft;Landing Ship Tank;Çıkarma Gemisi;【登\t陆\t艇\t】\t坦\t克\t登\t陆\t舰;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;Navă de debarcare tancuri americană;【登\t陸\t艇\t】\t車\t輛\t人\t員\t登\t陸\t艇;【登\t陆\t舰\t】;;
ships/uss_lst_includes_1;Landing craft;Barge de débarquement;Nave da sbarco USA;Landungsboot;Lancha de desembarco;Десантное судно;Landing craft;LST;Çıkarma Gemisi;【登\t陆\t艇\t】\t坦\t克\t登\t陆\t舰;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;Navă de debarcare americană;【登\t陸\t艇\t】\t坦\t克\t登\t陸\t艦;【登\t陆\t舰\t】;;
ships/uss_lst_includes_2;Landing craft;Barge de débarquement;Nave da sbarco;Landungsboot;Lancha de desembarco;Десантное судно;Landing craft;LST;Çıkarma Gemisi;登\t陆\t艇;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;USS LST;【登\t陸\t艦\t】\t坦\t克\t登\t陸\t艦;【登\t陆\t舰\t】;;
ships/uss_pt_109_0;Patrol boat;Bateau de patrouille;ELCO 80ft;Patrouillenboot;Barco patrulla;Дозорное судно;Patrol boat;80' Elco Patrol Torpedo Boat PT-109;Devriye Botu;【巡\t逻\t艇\t】\tPT-109 号\t鱼\t雷\t艇;哨戒艇;Patrulha;Сторожовий корабель;Patrolni čamac;járőrhajó;초계정;Дазорны карабель;Barcă topiloare ELCO PT 109;【巡\t邏\t艇\t】\tPT-109 魚\t雷\t艇;【巡\t逻\t艇\t】\tPT-109 号\t鱼\t雷\t艇;;
ships/uss_pt_109_1;Patrol boat;Bateau de patrouille;Motosilurante USA;Patrouillenboot;Barco patrulla;Дозорное судно;Patrol boat;80' Elco PT-109;Devriye Botu;【巡\t逻\t艇\t】\tPT-109 号\t鱼\t雷\t艇;哨戒艇;Patrulha;Сторожовий корабель;Patrolni čamac;járőrhajó;초계정;Дазорны карабель;Barcă de patrulare americană;【巡\t邏\t艇\t】\tPT-109 魚\t雷\t艇;【巡\t逻\t艇\t】\tPT-109 号\t鱼\t雷\t艇;;
ships/uss_pt_109_2;Patrol boat;Bateau de patrouille;Motosilurante;Patrouillenboot;Barco patrulla;Дозорное судно;Patrol boat;Elco PT;Devriye Botu;巡\t逻\t艇;哨戒艇;Patrulha;Сторожовий корабель;Patrolni čamac;járőrhajó;초계정;Дазорны карабель;Barcă de patrulare;【巡\t邏\t艇\t】\tPT-109 魚\t雷\t艇;【巡\t逻\t艇\t】;;
ships/uss_pt_109_lite_0;Patrol boat;Bateau de patrouille;ELCO 80ft;Patrouillenboot;Barco patrulla;Дозорное судно;Patrol boat;80' Elco Patrol Torpedo Boat PT-109;Devriye Botu;【巡\t逻\t艇\t】\tPT-109 号\t鱼\t雷\t艇;哨戒艇;Patrulha;Сторожовий корабель;Patrolni čamac;járőrhajó;초계정;Дазорны карабель;Barcă topiloare ELCO PT 109;【巡\t邏\t艇\t】\tPT-109 魚\t雷\t艇;【巡\t逻\t艇\t】\tPT-109 号\t鱼\t雷\t艇;;
ships/uss_pt_109_lite_1;Patrol boat;Bateau de patrouille;Motosilurante USA;Patrouillenboot;Barco patrulla;Дозорное судно;Patrol boat;80' Elco PT-109;Devriye Botu;【巡\t逻\t艇\t】\tPT-109 号\t鱼\t雷\t艇;哨戒艇;Patrulha;Сторожовий корабель;Patrolni čamac;járőrhajó;초계정;Дазорны карабель;Barcă de patrulare americană;【巡\t邏\t艇\t】\tPT-109 魚\t雷\t艇;【巡\t逻\t艇\t】\tPT-109 号\t鱼\t雷\t艇;;
ships/uss_pt_109_lite_2;Patrol boat;Bateau de patrouille;Motosilurante;Patrouillenboot;Barco patrulla;Дозорное судно;Patrol boat;Elco PT;Devriye Botu;巡\t逻\t艇;哨戒艇;Patrulha;Сторожовий корабель;Patrolni čamac;járőrhajó;초계정;Дазорны карабель;Barcă de patrulare;【巡\t邏\t艇\t】\tPT-109 魚\t雷\t艇;【巡\t逻\t艇\t】;;
ships/ussr_tb_g5_0;Patrol boat;Bateau de patrouille;Tipo G-5;Patrouillenboot;Barco patrulla;Дозорное судно;Patrol boat;Torpednyj katěr typ G-5;Devriye Botu;【巡\t逻\t艇\t】\tG-5 型\t鱼\t雷\t艇;哨戒艇;Patrulha;Сторожовий корабель;Patrolni čamac;járőrhajó;초계정;Дазорны карабель;Barcă tip G-5;【巡\t邏\t艇\t】\tG-5 魚\t雷\t艇;【巡\t逻\t艇\t】;;
ships/ussr_tb_g5_1;Patrol boat;Bateau de patrouille;Motosilurante URSS;Patrouillenboot;Barco patrulla;Дозорное судно;Patrol boat;TKA typ G-5;Devriye Botu;【巡\t逻\t艇\t】\tG-5 型\t鱼\t雷\t艇;哨戒艇;Patrulha;Сторожовий корабель;Patrolni čamac;járőrhajó;초계정;Дазорны карабель;Barcă de patrulare sovietică;【巡\t邏\t艇\t】\tG-5 魚\t雷\t艇;【巡\t逻\t艇\t】;;
ships/ussr_tb_g5_2;Patrol boat;Bateau de patrouille;Motosilurante;Patrouillenboot;Barco patrulla;Дозорное судно;Patrol boat;TKA G-5;Devriye Botu;巡\t逻\t艇;哨戒艇;Patrulha;Сторожовий корабель;Patrolni čamac;járőrhajó;초계정;Дазорны карабель;Barcă de patrulare;【巡\t邏\t艇\t】\tG-5 魚\t雷\t艇;【巡\t逻\t艇\t】;;
ships/ussr_tb_g5_lite_0;Patrol boat;Bateau de patrouille;Tipo G-5;Patrouillenboot;Barco patrulla;Дозорное судно;Patrol boat;Torpednyj katěr typ G-5;Devriye Botu;【巡\t逻\t艇\t】\tG-5 型\t鱼\t雷\t艇;哨戒艇;Patrulha;Сторожовий корабель;Patrolni čamac;járőrhajó;초계정;Дазорны карабель;Barcă tip G-5 ușoară;【巡\t邏\t艇\t】\tG-5 魚\t雷\t艇;【巡\t逻\t艇\t】;;
ships/ussr_tb_g5_lite_1;Patrol boat;Bateau de patrouille;Motosilurante URSS;Patrouillenboot;Barco patrulla;Дозорное судно;Patrol boat;TKA typ G-5;Devriye Botu;【巡\t逻\t艇\t】\tG-5 型\t鱼\t雷\t艇;哨戒艇;Patrulha;Сторожовий корабель;Patrolni čamac;járőrhajó;초계정;Дазорны карабель;Barcă de patrulare sovietică;【巡\t邏\t艇\t】\tG-5 魚\t雷\t艇;【巡\t逻\t艇\t】;;
ships/ussr_tb_g5_lite_2;Patrol boat;Bateau de patrouille;Motosilurante;Patrouillenboot;Barco patrulla;Дозорное судно;Patrol boat;TKA G-5;Devriye Botu;巡\t逻\t艇;哨戒艇;Patrulha;Сторожовий корабель;Patrolni čamac;járőrhajó;초계정;Дазорны карабель;Barcă de patrulare;【巡\t邏\t艇\t】\tG-5 魚\t雷\t艇;【巡\t逻\t艇\t】;;
Destroyer_USSR_Type7_0;Destruktor;Destruktor;Cacciatorpediniere;Zerstörer;Destructor;Эсминец;Destruktor;Eskadrennyj minonosec projekt 7 Gněvnyj;Muhrip;【驱\t逐\t舰\t】\t愤\t怒\t级;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;Gnevny;驅\t逐\t艦;【驱\t逐\t舰\t】;;
Destroyer_USSR_Type7_1;Destruktor;Destruktor;Cacciatorpediniere URSS;Zerstörer;Destructor;Эсминец;Destruktor;Esminec projekt 7 Gněvnyj;Muhrip;【驱\t逐\t舰\t】\t愤\t怒\t级;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;Distrugător sovietic;【驅\t逐\t艦\t】\t憤\t怒\t級;【驱\t逐\t舰\t】;;
Destroyer_USSR_Type7_2;Destruktor;Destruktor;Cacciatorpediniere;Zerstörer;Destructor;Эсминец;Destruktor;Esminec 7;Muhrip;驱\t逐\t舰;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;Distrugător;驅\t逐\t艦;【驱\t逐\t舰\t】;;
ships/ijn_dd_shiratsuyu_0;Destruktor;Destruktor;Shiratsuyu;Zerstörer;Destructor;Эсминец;Destruktor;Širacuju;Muhrip;【驱\t逐\t舰\t】\t白\t露\t级;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;Shiratsuyu;【驅\t逐\t艦\t】\t白\t露\t級;【驱\t逐\t舰\t】;;
ships/ijn_dd_shiratsuyu_1;Destruktor;Destruktor;Cacciatorpediniere Giapponese;Zerstörer;Destructor;Эсминец;Destruktor;Širacuju;Muhrip;【驱\t逐\t舰\t】\t白\t露\t级;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;Distrugător japonez;【驅\t逐\t艦\t】\t白\t露\t級;【驱\t逐\t舰\t】;;
ships/ijn_dd_shiratsuyu_2;Destruktor;Destruktor;Cacciatorpediniere;Zerstörer;Destructor;Эсминец;Destruktor;Širacuju;Muhrip;驱\t逐\t舰;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;Distrugător;【驅\t逐\t艦\t】\t白\t露\t級;【驱\t逐\t舰\t】;;
ships/uss_dd_sims_0;Destruktor;Destruktor;USS Sims;Zerstörer;Destructor;Эсминец;Destruktor;USS Sims DD-409;Muhrip;【驱\t逐\t舰\t】\t西\t姆\t斯\t级;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;USS Sims;【驅\t逐\t艦\t】\t西\t姆\t斯\t級;【驱\t逐\t舰\t】;;
ships/uss_dd_sims_1;Destruktor;Destruktor;Cacciatorpediniere USA;Zerstörer;Destructor;Эсминец;Destruktor;USS Sims;Muhrip;【驱\t逐\t舰\t】\t西\t姆\t斯\t级;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;Distrugător american;【驅\t逐\t艦\t】\t西\t姆\t斯\t級;【驱\t逐\t舰\t】;;
ships/uss_dd_sims_2;Destruktor;Destruktor;Cacciatorpediniere;Zerstörer;Destructor;Эсминец;Destruktor;Sims;Muhrip;驱\t逐\t舰;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;Distrugător;驅\t逐\t艦;【驱\t逐\t舰\t】;;
ships/uss_dd_sims_noguns_0;Destruktor;Destruktor;USS Sims;Zerstörer;Destructor;Эсминец;Destruktor;USS Sims DD-409;Muhrip;【驱\t逐\t舰\t】\t西\t姆\t斯\t级;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;USS Sims fără arme;【驅\t逐\t艦\t】\t西\t姆\t斯\t級;【驱\t逐\t舰\t】;;
ships/uss_dd_sims_noguns_1;Destruktor;Destruktor;Cacciatorpediniere USA;Zerstörer;Destructor;Эсминец;Destruktor;USS Sims;Muhrip;【驱\t逐\t舰\t】\t西\t姆\t斯\t级;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;Distrugător american;【驅\t逐\t艦\t】\t西\t姆\t斯\t級;【驱\t逐\t舰\t】;;
ships/uss_dd_sims_noguns_2;Destruktor;Destruktor;Cacciatorpediniere;Zerstörer;Destructor;Эсминец;Destruktor;Sims;Muhrip;驱\t逐\t舰;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;Distrugător;驅\t逐\t艦;【驱\t逐\t舰\t】;;
ships/uss_ca_sanfrancisco_0;Heavy Cruiser;Croiseur lourd;USS San Francisco;Schwerer Kreuzer;Crucero Pesado;Тяжёлый крейсер;Heavy Cruiser;USS San Francisco CA-38;Ağır Kruvazör;【重\t巡\t洋\t舰\t】\t旧\t金\t山;重巡洋艦;Cruzador Pesado;Важкий крейсер;Teška krstarica;nehézcirkáló;중순양함;Цяжкі крэйсер;USS San Francisco;【重\t巡\t洋\t艦\t】\t舊\t金\t山\t號;【重\t巡\t洋\t舰\t】;;
ships/uss_ca_sanfrancisco_1;Heavy Cruiser;Croiseur lourd;Incrociatore USA;Schwerer Kreuzer;Crucero Pesado;Тяжёлый крейсер;Heavy Cruiser;USS San Francisco;Ağır Kruvazör;【重\t巡\t洋\t舰\t】\t旧\t金\t山;重巡洋艦;Cruzador Pesado;Важкий крейсер;Teška krstarica;nehézcirkáló;중순양함;Цяжкі крэйсер;Crucișător greu american;【重\t巡\t洋\t艦\t】\t舊\t金\t山\t號;【重\t巡\t洋\t舰\t】;;
ships/uss_ca_sanfrancisco_2;Heavy Cruiser;Croiseur lourd;Incrociatore Pesante;Schwerer Kreuzer;Crucero Pesado;Тяжёлый крейсер;Heavy Cruiser;San Francisco;Ağır Kruvazör;重\t巡\t洋\t舰;重巡洋艦;Cruzador Pesado;Важкий крейсер;Teška krstarica;nehézcirkáló;중순양함;Цяжкі крэйсер;Crucișător greu;重\t巡\t洋\t艦;【重\t巡\t洋\t舰\t】;;
ships/ijn_ca_myoko_0;Heavy Cruiser;Croiseur lourd;Myoko;Schwerer Kreuzer;Crucero Pesado;Тяжёлый крейсер;Heavy Cruiser;Mjókó;Ağır Kruvazör;【重\t巡\t洋\t舰\t】\t妙\t高;重巡洋艦;Cruzador Pesado;Важкий крейсер;Teška krstarica;nehézcirkáló;중순양함;Цяжкі крэйсер;Myoko;【重\t巡\t洋\t艦\t】\t妙\t高\t號;【重\t巡\t洋\t舰\t】;;
ships/ijn_ca_myoko_1;Heavy Cruiser;Croiseur lourd;Incrociatore Giapponese;Schwerer Kreuzer;Crucero Pesado;Тяжёлый крейсер;Heavy Cruiser;Mjókó;Ağır Kruvazör;【重\t巡\t洋\t舰\t】\t妙\t高;重巡洋艦;Cruzador Pesado;Важкий крейсер;Teška krstarica;nehézcirkáló;중순양함;Цяжкі крэйсер;Crucișător greu japonez;【重\t巡\t洋\t艦\t】\t妙\t高\t號;【重\t巡\t洋\t舰\t】;;
ships/ijn_ca_myoko_2;Heavy Cruiser;Croiseur lourd;Incrociatore Pesante;Schwerer Kreuzer;Crucero Pesado;Тяжёлый крейсер;Heavy Cruiser;Mjókó;Ağır Kruvazör;重\t巡\t洋\t舰;重巡洋艦;Cruzador Pesado;Важкий крейсер;Teška krstarica;nehézcirkáló;중순양함;Цяжкі крэйсер;Crucișător greu;重\t巡\t洋\t艦;【重\t巡\t洋\t舰\t】;;
ships/uss_bb_arizona_story_0;Łódź Bojownika;Cuirassé;USS Arizona;Schlachtschiff;Acorazado;Линкор;Łódź Bojownika;USS Arizona;Zırhlı;【战\t列\t舰\t】\t亚\t利\t桑\t那;戦艦;Couraçado;Лінкор;Bojni brod;csatahajó;전함;Линкор;Łódź Bojownika;【戰\t列\t艦\t】\t亞\t利\t桑\t那;【战\t列\t舰\t】;;
ships/uss_bb_arizona_story_1;Łódź Bojownika;Cuirassé;Corazzata USA;Schlachtschiff;Acorazado;Линкор;Łódź Bojownika;bitevní loď;Zırhlı;【战\t列\t舰\t】\t亚\t利\t桑\t那;戦艦;Couraçado;Лінкор;Bojni brod;csatahajó;전함;Линкор;Łódź Bojownika;【戰\t列\t艦\t】\t亞\t利\t桑\t那;【战\t列\t舰\t】;;
ships/uss_bb_arizona_story_2;Łódź Bojownika;Cuirassé;Corazzata;Schlachtschiff;Acorazado;Линкор;Łódź Bojownika;bitevní loď;Zırhlı;战\t列\t舰;戦艦;Couraçado;Лінкор;Bojni brod;csatahajó;전함;Линкор;Łódź Bojownika;戰\t列\t艦;【战\t列\t舰\t】;;
ships/uss_bb_arizona_0;Łódź Bojownika;Cuirassé;USS Arizona;Schlachtschiff;Acorazado;Линкор;Łódź Bojownika;USS Arizona BB-39;Zırhlı;【战\t列\t舰\t】\t亚\t利\t桑\t那;戦艦;Couraçado;Лінкор;Bojni brod;csatahajó;전함;Лінкар;USS Arizona;【戰\t列\t艦\t】\t亞\t利\t桑\t那\t號;【战\t列\t舰\t】;;
ships/uss_bb_arizona_1;Łódź Bojownika;Cuirassé;Corazzata USA;Schlachtschiff;Acorazado;Линкор;Łódź Bojownika;USS Arizona;Zırhlı;【战\t列\t舰\t】\t亚\t利\t桑\t那;戦艦;Couraçado;Лінкор;Bojni brod;csatahajó;전함;Лінкар;Cuirasat american;【戰\t列\t艦\t】\t亞\t利\t桑\t那\t號;【战\t列\t舰\t】;;
ships/uss_bb_arizona_2;Łódź Bojownika;Cuirassé;Corazzata;Schlachtschiff;Acorazado;Линкор;Łódź Bojownika;Arizona;Zırhlı;战\t列\t舰;戦艦;Couraçado;Лінкор;Bojni brod;csatahajó;전함;Лінкар;Cuirasat;【戰\t列\t艦\t】\t亞\t利\t桑\t那\t號;【战\t列\t舰\t】;;
ships/ijn_bb_nagato_story_0;Łódź Bojownika;Cuirassé;Nagato;Schlachtschiff;Acorazado;Линкор;Łódź Bojownika;IJN Nagato;Zırhlı;【战\t列\t舰\t】\t长\t门;戦艦;Couraçado;Лінкор;Bojni brod;csatahajó;전함;Линкор;Łódź Bojownika;【戰\t列\t艦\t】\t長\t門;【战\t列\t舰\t】;;
ships/ijn_bb_nagato_story_1;Łódź Bojownika;Cuirassé;Corazzata Giapponese;Schlachtschiff;Acorazado;Линкор;Łódź Bojownika;bitevní loď;Zırhlı;【战\t列\t舰\t】\t长\t门;戦艦;Couraçado;Лінкор;Bojni brod;csatahajó;전함;Линкор;Łódź Bojownika;【戰\t列\t艦\t】\t長\t門;【战\t列\t舰\t】;;
ships/ijn_bb_nagato_story_2;Łódź Bojownika;Cuirassé;Corazzata;Schlachtschiff;Acorazado;Линкор;Łódź Bojownika;bitevní loď;Zırhlı;战\t列\t舰;戦艦;Couraçado;Лінкор;Bojni brod;csatahajó;전함;Линкор;Łódź Bojownika;戰\t列\t艦;【战\t列\t舰\t】;;
